Comm Code,Commodity,total
85,ELECTRIC MACHINERY ETC; SOUND,818112819400
84,"NUCLEAR REACTORS, BOILERS, MACHINERY ETC.; PARTS",666100643226
94,FURNITURE; BEDDING ETC; LAMPS NESOI ETC,181010404192
95,"TOYS, GAMES & SPORT EQUIPMENT; PARTS & ACCESSORIES",137998619706
64,"FOOTWEAR, GAITERS ETC. AND PARTS THEREOF",113801708948
