Comm Code,Commodity,total
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",95362331288
84,"NUCLEAR REACTORS, BOILERS, MACHINERY ETC.; PARTS",81687836243
85,ELECTRIC MACHINERY ETC; SOUND,80965955011
87,"VEHICLES, EXCEPT RAILWAY OR TRAMWAY, AND PARTS ETC",68852528392
12,"OIL SEEDS ETC.; MISC GRAIN, SEED, FRUIT, PLANT ETC",59289835223
90,"OPTIC, PHOTO ETC, MEDIC OR S",50091151820
39,PLASTICS AND ARTICLES THEREOF,31971602888
47,WOOD PULP ETC; RECOVD (WASTE & SCRAP) PPR & PPRBD,22330949053
10,CEREALS,16486726063
29,ORGANIC CHEMICALS,16250282113
