Comm Code,Commodity,total
85,ELECTRIC MACHINERY ETC; SOUND,870936193599
84,"NUCLEAR REACTORS, BOILERS, MACHINERY ETC.; PARTS",684668991653
94,FURNITURE; BEDDING ETC; LAMPS NESOI ETC,205068006274
95,"TOYS, GAMES & SPORT EQUIPMENT; PARTS & ACCESSORIES",142896623459
39,PLASTICS AND ARTICLES THEREOF,103360274544
87,"VEHICLES, EXCEPT RAILWAY OR TRAMWAY, AND PARTS ETC",94072315122
64,"FOOTWEAR, GAITERS ETC. AND PARTS THEREOF",93398278755
61,"APPAREL ARTICLES AND ACCESSORIES, KNIT OR CROCHET",85670333169
62,"APPAREL ARTICLES AND ACCESSORIES, NOT KNIT ETC.",84739967736
90,"OPTIC, PHOTO ETC, MEDIC OR S",75418805074
