Comm Code,Commodity,total
85,ELECTRIC MACHINERY ETC; SOUND,772743932606
84,"NUCLEAR REACTORS, BOILERS, MACHINERY ETC.; PARTS",618577640057
94,FURNITURE; BEDDING ETC; LAMPS NESOI ETC,186389949178
95,"TOYS, GAMES & SPORT EQUIPMENT; PARTS & ACCESSORIES",135631111857
64,"FOOTWEAR, GAITERS ETC. AND PARTS THEREOF",97682661765
39,PLASTICS AND ARTICLES THEREOF,92592307290
62,"APPAREL ARTICLES AND ACCESSORIES, NOT KNIT ETC.",89612164830
61,"APPAREL ARTICLES AND ACCESSORIES, KNIT OR CROCHET",87876881801
87,"VEHICLES, EXCEPT RAILWAY OR TRAMWAY, AND PARTS ETC",86544469286
90,"OPTIC, PHOTO ETC, MEDIC OR S",71213491946
