Comm Code,Commodity,total
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",86651134392
85,ELECTRIC MACHINERY ETC; SOUND,78930329601
84,"NUCLEAR REACTORS, BOILERS, MACHINERY ETC.; PARTS",74341211586
87,"VEHICLES, EXCEPT RAILWAY OR TRAMWAY, AND PARTS ETC",68051586710
12,"OIL SEEDS ETC.; MISC GRAIN, SEED, FRUIT, PLANT ETC",67929422483
90,"OPTIC, PHOTO ETC, MEDIC OR S",52258343745
39,PLASTICS AND ARTICLES THEREOF,30831182836
47,WOOD PULP ETC; RECOVD (WASTE & SCRAP) PPR & PPRBD,21010065898
44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL,16010520349
29,ORGANIC CHEMICALS,15204269108
